"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C92","C0201","226.378mil","893.701mil","226.378mil","893.701mil","226.378mil","905.512mil","T","270.00","100nF"
"C91","C0603","512.795mil","1217.52mil","512.795mil","1217.52mil","483.268mil","1217.52mil","T","360.00","4.7uF"
"C90","C0201","905.512mil","1192.914mil","905.512mil","1192.914mil","917.323mil","1192.914mil","T","180.00","12pF"
"C89","C0201","358.268mil","681.102mil","358.268mil","681.102mil","370.079mil","681.102mil","T","180.00","100nF"
"C88","TANT3216","192.913mil","741.142mil","192.913mil","741.142mil","192.913mil","686.024mil","T","90.00","10uF_Case A"
"C87","C0201","905.512mil","1216.536mil","905.512mil","1216.536mil","917.323mil","1216.536mil","T","180.00","100nF"
"C86","C0201","779.528mil","1515.748mil","779.528mil","1515.748mil","779.528mil","1527.56mil","T","270.00","100pF"
"C82","C0201","275.591mil","669.291mil","275.591mil","669.291mil","275.591mil","657.48mil","T","90.00","100nF"
"C80","C0201","834.646mil","1507.874mil","834.646mil","1507.874mil","846.457mil","1507.874mil","T","180.00","12pF"
"C79","C0201","109.252mil","1173.228mil","109.252mil","1173.228mil","97.441mil","1173.228mil","T","360.00","22pF"
"C78","C0201","909.449mil","1370.079mil","909.449mil","1370.079mil","909.449mil","1358.268mil","T","90.00","1pF"
"C77","C0201","1003.938mil","1377.953mil","1003.938mil","1377.953mil","1003.938mil","1366.142mil","T","90.00","TBD"
"C76","C0201","905.512mil","1413.386mil","905.512mil","1413.386mil","917.323mil","1413.386mil","T","180.00","100pF"
"C75","C0201","921.26mil","1472.441mil","921.26mil","1472.441mil","933.071mil","1472.441mil","T","180.00","12pF"
"C74","C0201","1011.812mil","1539.371mil","1011.812mil","1539.371mil","1011.812mil","1527.56mil","T","90.00","12pF"
"C73","C0201","551.181mil","1426.181mil","551.181mil","1426.181mil","539.37mil","1426.181mil","T","360.00","100nF"
"C72","C0201","555.119mil","1263.78mil","555.119mil","1263.78mil","555.119mil","1251.969mil","T","90.00","12pF"
"C70","C0402","610.237mil","1515.748mil","610.237mil","1515.748mil","629.922mil","1515.748mil","T","180.00","1uF"
"C69","C0201","329.724mil","1459.646mil","329.724mil","1459.646mil","329.724mil","1471.457mil","T","270.00","12pF"
"C68","C0201","452.756mil","1507.874mil","452.756mil","1507.874mil","440.945mil","1507.874mil","T","360.00","12pF"
"C67","C0201","834.646mil","1531.496mil","834.646mil","1531.496mil","846.457mil","1531.496mil","T","180.00","100nF"
"C64","C0603","976.378mil","716.536mil","976.378mil","716.536mil","976.378mil","750mil","T","270.00","22uF"
"C63","C0201-C","803.339mil","497mil","803.339mil","497mil","803.339mil","508.812mil","T","270.00","100nF"
"C61","C0201-C","546.339mil","275mil","546.339mil","275mil","534.528mil","275mil","T","0.00","100nF"
"C59","C0201-C","991.339mil","445mil","991.339mil","445mil","1003.15mil","445mil","T","180.00","100nF"
"C58","C0201-C","936.339mil","413mil","936.339mil","413mil","948.15mil","413mil","T","180.00","330pF"
"C57","C0201-C","936.339mil","383mil","936.339mil","383mil","948.15mil","383mil","T","180.00","12pF"
"C56","C0603","544.291mil","157.48mil","544.291mil","157.48mil","544.291mil","124.016mil","T","90.00","22uF"
"C55","C0201-C","933.339mil","519mil","933.339mil","519mil","945.15mil","519mil","T","180.00","100nF"
"C54","C0201-C","933.339mil","487mil","933.339mil","487mil","945.15mil","487mil","T","180.00","10nF"
"C53","C0201-C","933.339mil","455mil","933.339mil","455mil","945.15mil","455mil","T","180.00","12pF"
"C52","C0201-C","818.339mil","184mil","818.339mil","184mil","806.528mil","184mil","T","360.00","18pF"
"C50","C0201-C","792.686mil","106.001mil","792.686mil","106.001mil","804.496mil","106.001mil","T","180.00","27pF"
"C49","C0201-C","890.064mil","252.76mil","890.064mil","252.76mil","901.875mil","252.76mil","T","180.00","10nF"
"C48","C0201-C","792.686mil","132.76mil","792.686mil","132.76mil","804.496mil","132.76mil","T","180.00","1.2pF"
"C47","C0402","641.143mil","137.76mil","641.143mil","137.76mil","641.143mil","157.445mil","T","270.00","100pF"
"C46","C0201-C","836.339mil","497mil","836.339mil","497mil","836.339mil","508.812mil","T","270.00","100nF"
"C45","C0201-C","542.339mil","323mil","542.339mil","323mil","530.528mil","323mil","T","360.00","100nF"
"C44","C0402","913.386mil","661.418mil","913.386mil","661.418mil","933.071mil","661.418mil","T","180.00","DNF"
"C43","C0201-C","761.142mil","517.76mil","761.142mil","517.76mil","749.331mil","517.76mil","T","360.00","100nF"
"C42","C0201-C","545.339mil","235mil","545.339mil","235mil","533.528mil","235mil","T","360.00","100nF"
"C41","C0402","597.339mil","162mil","597.339mil","162mil","597.339mil","142.315mil","T","90.00","DNF"
